,title,url
17,Consumer Reports,https://research.cincinnatilibrary.org/login?eou=aHR0cDovL3NlYXJjaC5lYnNjb2hvc3QuY29tL2xvZ2luLmFzcHg_YXV0aHR5cGU9aXAmYW1wO3Byb2ZpbGU9Y3I8QlI-PEJSPlRoZSBhYm92ZSBVUkwgd2lsbCBwcm9tcHQgZm9yIENhcmQgTnVtYmVyIGFuZCBQaW4sIG9uY2UgYXV0aGVudGljYXRlZCB1c2VycyB3aWxsIGJlIHJlZGlyZWN0ZWQgdG8gTWFzdGVyRklMRSBQcmVtaWVyIGRhdGFiYXNlLjxCUj48QlI-WWVzLCB0aGlzIHdpbGwgbm90IGVmZmVjdCB0aGUgY3VycmVudCBNYXN0ZXJGSUxFIFByZW1pZXIgZGF0YWJhc2UgaW4gRUJTQ09ob3N0IHByb2ZpbGUuPEJSPjxCUj5QbGVhc2UgbGV0IG1lIGtub3cgaWYgeW91IGhhdmUgYW55IHF1ZXN0aW9ucyBvciBpZiBJIGNhbiBiZSBvZiBmdXJ0aGVyIGFzc2lzdGFuY2UuIDxCUj48QlI-UmVnYXJkcyw8QlI-TWFyeTxCUj5UZWNobmljYWwgU3VwcG9ydCBSZXByZXNlbnRhdGl2ZTxCUj5FQlNDTyBQdWJsaXNoaW5nPEJSPjEtODAwLTc1OC01OTk1IChVUy9DYW5hZGEgVG9sbCBGcmVlKTxCUj4wMC04MDAtMzI3Mi02MDAwIChJbnRlcm5hdGlvbmFsIFRvbGwgRnJlZSk8QlI-c3VwcG9ydEBlYnNjby5jb20mbHQ7bWFpbHRvOnN1cHBvcnRAZWJzY28uY29tJmd0OzxCUj48QlI-SGkgQWxsaXNvbiw8QlI-VGhhbmtzIGZvciB5b3VyIGVtYWlsLjxCUj5JIGhhdmUgY3JlYXRlZCBhIGNvbGxlY3Rpb24gYW5kIGFkZGVkIENvbnN1bWVyIFJlcG9ydHMgdGl0bGUgdG8gdGhpcyBjb2xsZWN0aW9uLiBUaGlzIGNvbGxlY3Rpb24gaGFzIGJlZW4gZW5hYmxlZCBhcyBhIGxpbWl0ZXIgb24gRUJTQ09ob3N0IGRhdGFiYXNlcyBzZWFyY2ggcGFnZS4gWW91IHdpbGwgc2VlIHRoaXMgbGltaXRlciBhdCB0aGUgZW5kIG9mIHRoZSBwYWdlLiBXaGVuIGEgdXNlciBlbnRlcnMgdGhlaXIgc2VhcmNoIHRlcm0gaW4gdGhlIHNlYXJjaCBib3ggaXQgd2lsbCByZXRyaWV2ZSByZXN1bHRzIG9ubHkgZnJvbSBDb25zdW1lciBSZXBvcnRzIHRpdGxlLjxCUj5JZiB5b3Ugd291bGQgbGlrZSBtZSB0byBkaXNwbGF5IHRoaXMgbGltaXRlciBhYm92ZSB0aGUgZGF0YWJhc2Ugc2VhcmNoIGxpbWl0ZXJzLCBwbGVhc2UgbGV0IG1lIGtub3cuPEJSPkNvbnN1bWVyIFJlcG9ydHMgaXMgYSB0aXRsZSBpbiBNYXN0ZXJGSUxFIHByZW1pZXIgZGF0YWJhc2UsIGlmIHdlIGNyZWF0ZSBhIHNlcGFyYXRlIHByb2ZpbGUgYW5kIGVuYWJsZSBDb25zdW1lclJlcG9ydHMgbGltaXRlciB0byBzZWFyY2ggYnkgZGVmYXVsdCB5b3UgY2FuIHVzZSBhIGxpbmsgZGlyZWN0bHkgb24geW91ciB3ZWJzaXRlIHRvIHRoaXMgcHJvZmlsZSB0byBhY2Nlc3MgQ29uc3VtZXIgUmVwb3J0cy48QlI-T3IgaWYgeW91IHdvdWxkIGxpa2UgbWUgdG8gc2VuZCBhIHNlYXJjaCBib3ggY29kZSBmb3IgQ29uc3VtZXIgUmVwb3J0cyB0aHJvdWdoIE1hc3RlckZJTEUgcHJlbWllciBkYXRhYmFzZSB0byB1c2Ugb24geW91ciB3ZWJzaXRlLCBwbGVhc2UgbGV0IG1lIGtub3cuPEJSPlBsZWFzZSBsZXQgbWUga25vdyBpZiB5b3UgaGF2ZSBhbnkgcXVlc3Rpb25zIG9yIGlmIEkgY2FuIGJlIG9mIGZ1cnRoZXIgYXNzaXN0YW5jZS4gPEJSPjxCUj5SZWdhcmRzLDxCUj5NYXJ5PEJSPlRlY2huaWNhbCBTdXBwb3J0IFJlcHJlc2VudGF0aXZlPEJSPkVCU0NPIFB1Ymxpc2hpbmc8QlI-MS04MDAtNzU4LTU5OTUgKFVTL0NhbmFkYSBUb2xsIEZyZWUpPEJSPjAwLTgwMC0zMjcyLTYwMDAgKEludGVybmF0aW9uYWwgVG9sbCBGcmVlKSZuYnNwOzxicj4mbmJzcDs8YnI-PGJyPjwvZm9udD48L2ZvbnQ-PGZvbnQgc2l6ZT0*&url=http://search.ebscohost.com/login.aspx?authtype=ip&profile=cr
18,Creative Bug,https://www.creativebug.com/lib/cincinnati
19,Culture Grams,https://research.cincinnatilibrary.org/login?url=http://online.culturegrams.com
20,Dictionary of Literary Biography,https://research.cincinnatilibrary.org/login?url=https://link.gale.com/apps/DLBC?u=cinc37305
21,Digital Library from the Cincinnati & Hamilton County Public Library,https://digital.cincinnatilibrary.org/
22,Ebook Central,https://research.cincinnatilibrary.org/login?url=https://search.proquest.com/ebookcentral?accountid=39387
23,EBSCOhost,https://research.cincinnatilibrary.org/login?url=http://search.ebscohost.com/login.aspx?authtype=ip
24,Explora,http://ohioweblibrary.org/db/ebsco-explora
25,FactCite,https://research.cincinnatilibrary.org/login?url=http://www.factcite.com/index.html
26,Findmypast,https://www.findmypast.com/
